city,state,cost_of_living,cost_of_living_without_rent,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,tech_hub
Lexington, KY,47.45,67.9,25.51,69.03,62.48,130.77,0
Pensacola, FL,47.44,64.88,28.72,62.12,64.75,128.73,0
Louisville, KY,47.39,65.14,28.33,65.76,65.91,127.21,0
Sioux Falls, SD,47,66.85,25.7,69.13,56.18,168.93,0
Dayton, OH,46.71,69.76,21.96,73.53,62.38,114.2,0
Wichita, KS,46.58,67.02,24.63,67.02,68.1,118.39,0
Knoxville, TN,46.55,62.18,29.77,60.36,64.67,128.69,0
Lubbock, TX,46.52,66.9,24.63,61.64,68.94,133.25,0
Boise, ID,46.37,62.65,28.91,58.7,65.39,130.86,0
Winston-salem, NC,46.34,66.27,24.96,71.92,69.63,117.44,0
Albuquerque, NM,46.33,65.73,25.5,68.04,64.58,123.57,0
Fort Wayne, IN,46.28,69.42,21.43,74.49,69.24,129.87,0
Oklahoma City, OK,46.09,64.29,26.54,66.52,58.15,142.4,0
Huntsville, AL,46.03,63.34,27.45,64.13,63.83,152.26,1
Mobile, AL,45.69,65.31,24.63,67.4,64.09,122.2,0
Athens, GA,44.21,60.55,26.67,57.85,59.58,110.52,0
Tucson, AZ,44.1,63,23.8,61.12,63.64,138.07,0
Springfield, MO,43.44,66.4,18.79,73.6,63.28,77.68,0
